Product Category,Product ID,Product Name,Product Size,Product Size Unit,Age,Breed,Gender,Dog Size,EnergyLevel,PottyTrained,Product Photo,Description
קולרים,1,קולר לכלב XS,,,,,,XS,,,#VALUE!,"קולר איכותי, נוח לשימוש ולכלב. ניתן להתאמה ועם עיצוב ייחודי המפחית את העומס על האבזם."
קולרים,2,קולר לכלב S,,,,,,S,,,#VALUE!,"קולר איכותי, נוח לשימוש ולכלב. ניתן להתאמה ועם עיצוב ייחודי המפחית את העומס על האבזם."
קולרים,3,קולר לכלב M,,,,,,M,,,#VALUE!,"קולר איכותי, נוח לשימוש ולכלב. ניתן להתאמה ועם עיצוב ייחודי המפחית את העומס על האבזם."
קולרים,4,קולר לכלב L,,,,,,L,,,#VALUE!,"קולר איכותי, נוח לשימוש ולכלב. ניתן להתאמה ועם עיצוב ייחודי המפחית את העומס על האבזם."
רצועות,5,רצועה לכלב XS,,,,,,XS,,,#VALUE!,רצועה איכותית ונוחה לשימוש. 
רצועות,6,רצועה לכלב S,,,,,,S,,,#VALUE!,רצועה איכותית ונוחה לשימוש. 
רצועות,7,רצועה לכלב M,,,,,,M,,,#VALUE!,רצועה איכותית ונוחה לשימוש. 
רצועות,8,רצועה לכלב L,,,,,,L,,,#VALUE!,רצועה איכותית ונוחה לשימוש. 
קערות,9,קערת שתייה לכלב XS,15,CM,,,,XS,,,#VALUE!,
קערות,10,קערת שתייה לכלב S,20,CM,,,,S,,,#VALUE!,
קערות,11,קערת שתייה לכלב M,25,CM,,,,M,,,#VALUE!,
קערות,12,קערת שתייה לכלב L,30,CM,,,,L,,,#VALUE!,
קערות,13,קערת אוכל לכלב XS,15,CM,,,,XS,,,#VALUE!,
קערות,14,קערת אוכל לכלב S,20,CM,,,,S,,,#VALUE!,
קערות,15,קערת אוכל לכלב M,25,CM,,,,M,,,#VALUE!,
קערות,16,קערת אוכל לכלב L,30,CM,,,,L,,,#VALUE!,
גורים,17,גדר גורים,61X61,CM,0-12,,,"XS, S",,,#VALUE!,
גורים,18,פדים,,,0-12,,,,,FALSE,#VALUE!,
גורים,19,סלקל גורים,,,0-13,,,S,,FALSE,#VALUE!,"מנשא לגורים, עשוי צמר"
צעצועים,20,צעצוע לעיסה לכלב XS,,,,,,XS,,,#VALUE!,
צעצועים,21,צעצוע לעיסה לכלב S,,,,,,S,,,#VALUE!,
צעצועים,22,צעצוע לעיסה לכלב M,,,,,,M,,,#VALUE!,
צעצועים,23,צעצוע לעיסה לכלב L,,,,,,L,,,#VALUE!,
צעצועים,24,חבל לכלב XS,,,,,,XS,,,#VALUE!,
צעצועים,25,חבל לכלב S,,,,,,S,,,#VALUE!,
צעצועים,26,חבל לכלב M,,,,,,M,,,#VALUE!,
צעצועים,27,חבל לכלב L,,,,,,L,,,#VALUE!,
מזון,28,אוכל לכלבים גורים מגזע קטן - 3 קילוגרם,3,KG,,,,S,,,#VALUE!,"מזון כלבים קשיח, עשוי מעגל ודגים, מתאים לבניית וחיזוק העצמות של הכלב"
